dx.obs,change,dx.bearing,dx.resultant,mag.resultant,dx.0,dist.0,dx.1,dist.1,dx.2,dist.2,dx.3,dist.3,dx.4,dist.4,dx.5,dist.5,dx.6,dist.6,dx.7,dist.7,dx.8,dist.8,dx.9,dist.9,dx.10,dist.10,dx.11,dist.11,dx.12,dist.12,dx.13,dist.13,RevisitT,time,x,y,iid,dy.obs,dy.bearing,dy.resultant,dy.0,dy.1,dy.2,dy.3,dy.4,dy.5,dy.6,dy.7,dy.8,dy.9,dy.10,dy.11,dy.12,dy.13
0.902819254,dx,0.936220229,0.902628146,0.999012884,NA,NA,NA,NA,NA,NA,0.917946438,11.62356817,NA,NA,NA,NA,0.906002442,15.23003787,NA,NA,NA,NA,NA,NA,0.867980475,14.42555519,NA,NA,0.915019233,19.14586864,NA,NA,1560,2007-03-21T05:10,446075.678,6183864.906,15.10625747,-0.430020227,-0.351413835,-0.430421224,NA,NA,NA,-0.396704345,NA,NA,-0.423272459,NA,NA,NA,-0.496598324,NA,-0.403410217,NA
0.347230253,dx,0.384063333,-0.588228187,0.604719554,NA,NA,NA,NA,-0.474659682,36.21194266,-0.988898914,83.93149628,0.293053287,101.5059665,-0.504662099,13.29144018,-0.202710939,36.26900356,NA,NA,0.207128253,39.20331185,-0.10646236,37.20459975,-0.527922413,16.19673518,NA,NA,-0.588441473,23.05496236,-0.663554832,6.362135257,540,2007-03-21T07:43,446663.0756,6183613.841,39.32315935,0.937779906,0.923306751,0.808694998,NA,NA,0.880169408,0.148589829,0.95609611,0.863316956,0.97923862,NA,0.978313798,0.994316733,-0.849292603,NA,-0.808539816,0.748127653
0.539772459,dx,0.347230253,-0.996809197,0.384016717,NA,NA,NA,NA,-0.856703326,13.56832438,-0.854467305,89.7298975,0.410339365,73.28237627,-0.767849419,32.43797212,-0.584817949,10.86848931,NA,NA,0.550002257,12.78665974,-0.211501706,12.6869224,-0.549942739,40.37082955,NA,NA,-0.43422423,73.4905651,-0.528748978,39.56455641,600,2007-03-21T07:45,446680.7568,6183661.593,39.87865928,0.84181096,0.937779906,0.079821211,NA,NA,0.515809471,-0.519505173,0.911932895,-0.640630369,0.811164574,NA,0.835163168,0.977377628,-0.835202361,NA,-0.900804817,-0.848778251
0.847650007,dx,0.539772459,-0.398132703,0.783429282,NA,NA,NA,NA,0.037785208,26.81040116,-0.450436404,16.43913531,0.881457419,24.67092878,-0.737006099,75.53873653,-0.348273608,34.43315783,NA,NA,-0.198171416,35.00612044,-0.334477653,21.50573485,-0.781734263,48.66609552,NA,NA,-0.566781655,105.3979143,-0.621449385,111.9541065,960,2007-03-21T07:53,446761.1016,6183786.896,50.04223312,0.530555808,0.84181096,-0.917327832,NA,NA,-0.999285884,-0.892808516,0.472263505,-0.675886092,-0.937392924,NA,-0.980167379,-0.942403682,-0.623611692,NA,-0.823868045,-0.783454314
0.987036531,dx,0.847650007,-0.917656293,0.795534368,NA,NA,NA,NA,-0.880343538,76.79980294,0.999572119,22.90203172,-0.961555072,70.55051891,-0.849717763,151.1187573,-0.895242508,110.4600639,NA,NA,-0.879977298,116.1023459,-0.955264173,97.31693527,-0.953791507,87.45019877,NA,NA,-0.99914145,32.93489225,-0.924809849,99.01559844,840,2007-03-21T08:01,446922.7068,6183888.047,86.46511454,0.160495752,0.530555808,-0.397375048,NA,NA,-0.474336648,-0.029250271,-0.274612169,-0.527237824,-0.445579232,NA,-0.475015741,-0.295753883,-0.300469236,NA,0.041429011,-0.380429682
0.729950548,dx,0.987036531,-0.997747673,0.568718763,NA,NA,NA,NA,-0.994047451,117.7461583,0.892003244,39.70229022,-0.998032437,99.48744255,-0.966269026,183.7537693,-0.948494563,205.0239227,NA,NA,NA,NA,-0.995560435,115.0061459,-0.991061203,115.4779406,NA,NA,0.873822642,14.43120879,-0.979301044,176.5363048,1020,2007-03-21T08:07,447041.8783,6183907.425,118.5739092,0.683499962,0.160495752,-0.067078911,NA,NA,0.108947989,-0.452028995,0.062699726,-0.257534792,-0.31679341,NA,NA,0.09412449,0.133407991,NA,0.486244784,-0.202409151
-0.848080629,dx,0.729950548,-0.372797529,0.605462952,NA,NA,NA,NA,0.303512137,58.1469503,0.172832736,202.188481,-0.996125857,86.21141366,-0.845570406,70.58115757,-0.842011477,227.3614574,NA,NA,NA,NA,0.408705065,44.57522856,0.567830062,31.67496392,NA,NA,0.153015271,67.33428472,-0.953623695,154.7050957,2040,2007-03-21T08:18,447052.3817,6183917.26,104.7532259,-0.529867198,0.683499962,-0.927912713,NA,NA,-0.952827572,-0.984951189,-0.08793905,0.533863924,-0.539459612,NA,NA,-0.912666516,-0.823145808,NA,-0.988223824,-0.301001408
0.883220759,dx,-0.848080629,-0.360048009,0.901766039,NA,NA,NA,NA,-0.253679342,66.15969772,-0.240583979,205.2128491,-0.937410883,35.79660788,-0.285244654,104.1298391,-0.540500594,239.8489806,NA,NA,NA,NA,0.38383508,174.3506746,-0.062784966,4.827333954,NA,NA,-0.170293348,108.988053,-0.81544854,47.87657616,2700,2007-03-21T08:41,447018.8622,6183896.317,109.6878458,0.468957451,-0.529867198,-0.932933776,NA,NA,-0.96728837,-0.970628327,-0.348225266,-0.958454739,-0.841343632,NA,NA,-0.923401663,-0.998027078,NA,-0.985393412,-0.578829577
0.120673795,dx,0.883220759,-0.54097116,0.916516392,NA,NA,NA,NA,-0.530076223,123.9509963,-0.535598673,167.0629775,-0.913016197,72.94177021,-0.499028248,153.0985392,-0.507206623,254.5502297,-0.517911803,229.448541,NA,NA,0.136321369,169.0393154,0.211382416,49.94788286,-0.905606924,78.88352723,-0.803864155,92.33344067,-0.589293751,118.1118143,2400,2007-03-21T09:03,447059.9713,6183918.145,137.2153668,-0.992692216,0.468957451,-0.841041143,NA,NA,-0.847949997,-0.844472653,-0.407923307,-0.866585719,-0.861824484,-0.855434021,NA,-0.990664668,-0.977403435,-0.424118025,-0.594812929,-0.807918854
-0.178632031,dx,0.120673795,-0.856255852,0.782285602,NA,NA,NA,NA,-0.6352327,107.4856242,-0.728226463,179.3147005,-0.620253733,110.5830086,-0.873400769,93.1428447,-0.999882406,97.23027281,-0.972486503,85.34673077,-0.183992316,80.46261463,-0.168912217,95.80474663,-0.128645943,62.04256653,-0.922371718,94.60945736,-0.98387951,79.83177596,-0.820755124,110.0082095,2760,2007-03-21T09:21,447069.5096,6183839.68,99.65521269,0.983915951,-0.992692216,0.516551949,NA,NA,0.772320799,-0.685336573,0.784401241,0.487002152,-0.015335415,-0.232959227,0.982927682,0.985631099,0.991690588,0.386303525,-0.178832628,0.571280165
